"Rank","RankChng","Country","HDI","HDICHNG","HDICAT"
"138","(1)","Laos","0.586","0.004","Medium"
"139","(1)","Bangladesh","0.579","0.004","Medium"
"139","(1)","Ghana","0.579","0.004","Medium"
"139","","Zambia","0.579","0.003","Medium"
"142","","São Tomé and Príncipe","0.574","0.009","Medium"
"143","","Cambodia","0.563","0.005","Medium"
"144","","Nepal","0.558","0.003","Medium"
"145","(1)","Myanmar","0.556","0.004","Medium"
"146","(1)","Kenya","0.555","0.005","Medium"
"147","(1)","Pakistan","0.550","0.002","Medium"
"148","(1)","Swaziland","0.541","","Low"
"149","(4)","Syria","0.536","0.017","Low"
"150","","Angola","0.533","0.002","Low"
"151","(1)","Tanzania","0.531","0.012","Low"
"152","(1)","Nigeria","0.527","0.002","Low"
"153","(1)","Cameroon","0.518","0.004","Low"
"154","(1)","Papua New Guinea","0.516","0.001","Low"
"154","(4)","Zimbabwe","0.516","0.009","Low"
"156","(1)","Solomon Islands","0.515","0.002","Low"
"157","(2)","Mauritania","0.513","","Low"
"158","(1)","Madagascar","0.512","0.001","Low"
"159","(3)","Rwanda","0.498","0.005","Low"
"160","","Comoros","0.497","0.001","Low"
"160","(1)","Lesotho","0.497","0.002","Low"
"162","(1)","Senegal","0.494","0.003","Low"
"163","(1)","Haiti","0.493","0.003","Low"
"163","(2)","Uganda","0.493","0.005","Low"
"165","","Sudan","0.490","0.002","Low"
"166","(1)","Togo","0.487","0.003","Low"
"167","(1)","Benin","0.485","0.004","Low"
"168","(9)","Yemen","0.482","0.017","Low"
"169","","Afghanistan","0.479","","Low"
"170","","Malawi","0.476","0.003","Low"
"171","(1)","Côte d'Ivoire","0.474","0.008","Low"
"172","(1)","Djibouti","0.473","0.003","Low"
"173","","Gambia","0.452","0.002","Low"
"174","","Ethiopia","0.448","0.007","Low"
"175","","Mali","0.442","0.004","Low"
"176","(2)","Congo, Democratic Republic of the","0.435","0.010","Low"
"177","","Liberia","0.427","","Low"
"178","(1)","Guinea Bissau","0.424","0.003","Low"
"179","(2)","Eritrea","0.420","0.002","Low"
"179","(3)","Sierra Leone","0.420","0.011","Low"
"181","(1)","Mozambique","0.418","0.004","Low"
"181","(2)","South Sudan","0.418","0.003","Low"
"183","(1)","Guinea","0.414","","Low"
"184","","Burundi","0.404","0.002","Low"
"185","","Burkina Faso","0.402","0.003","Low"
"186","","Chad","0.396","0.002","Low"
"187","","Niger","0.353","0.002","Low"
"188","","Central African Republic","0.352","0.005","Low"
